,InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
0,138d5bfb-05cc-41e3-bf2c-fa85ebad14e2,rick grew troubl household .,"He never found good support famili , turn gang .",It n't long rick got shot robberi .,the incid caus turn new leaf .,He happi .,He join gang .,1
1,bff9f820-9605-4875-b9af-fe6f14d04256,lavern need prepar someth friend 's parti .,she decid bake batch browni .,she choos recip follow close .,lavern test one browni make sure delici .,the browni delici lavern eat two .,lavern n't go friend 's parti .,1
2,e8f628d5-9f97-40ed-8611-fc0e774673c4,sarah dream visit europ year .,she final save enough trip .,she land spain travel east across contin .,she n't like differ everyth .,sarah decid move europ .,sarah decid prefer home europ .,2
3,f5226bfe-9f26-4377-b05f-3d9568dbdec1,gina worri cooki dough tube would gross .,she happi find wrong .,the cooki tube good scratch .,gina intend eat 2 cooki save rest .,gina like cooki much ate one sit .,gina gave cooki away church .,1
4,69ac9b05-b956-402f-9fff-1f926ef9176b,It final perform march band .,I play snare drum band .,We play thriller radar love .,the perform flawless .,I proud perform .,I asham perform .,1
5,0f65bab6-8165-4361-980a-117046569fe2,I give homeless man chang everyday .,He corner near hous .,"one day , I drive neighborhood I saw new car .","soon enough , I saw homeless man emerg !",the next day I gave man twenti dollar .,I never gave man money .,2
6,d80cabdd-7a85-47e3-86be-5ce6591ca51e,jim found old dispos camera bottom junk drawer .,He began snap away everyth around .,the counter click one final photo .,the graviti situat began dawn jim .,jim took time decid would take pictur .,jim took 20 photo .,1
7,58090d3f-8a91-4c89-83ef-2b4994de9d24,ron start new job landscap today .,He love outdoor alway enjoy work .,hi boss tell re-sod front yard mayor 's home .,"ron ecstat , thorough job finish super earli .",ron immedi fire insubordin .,hi boss commend job well done .,2
8,e17053ac-2046-48c8-a7a2-7b9509c10e64,john billi becam skill beer pong .,they enter contest colleg .,they contest advanc next level .,the next level sent vega .,"In vega , john billi compet eighti contest .",john billi disappoint .,1
9,69b26ae4-b778-4cd1-9f13-27d28fd4430e,carolin student medic school .,carolin work hard get good grade .,one day carolin fail test one point .,carolin frustrat continu studi hard .,but gave .,"later , pass test .",2
